dron.ownerId,dron.degree,dron.betweeness,dron.clustcoeff,dron.closeness,dron.eigenvalue,dron.pagerank
1004415,76,44.43144539,0.914651494,1.15E-05,0.000843782,0.00030796
1004424,970,169.7705404,0.482427322,1.16E-05,0.123861911,0.007024609
1004428,378,417.1105021,0.748508387,1.16E-05,0.006189754,0.000594173
1004430,154,116.8416025,0.921394395,1.16E-05,0.001854117,0.000344105
1004435,474,22.95327594,0.707895301,1.16E-05,0.019544057,0.001261815
1004463,116,67.78416792,0.865093769,1.16E-05,0.002812261,0.000400734
1004480,324,259.792433,0.797714899,1.16E-05,0.004776328,0.000495022
1004507,334,428.5763015,0.761416925,1.16E-05,0.005081668,0.000505763
1004508,356,56.09874319,0.808353964,1.16E-05,0.007127187,0.000645832
1004513,542,85.41159137,0.690238194,1.16E-05,0.024311609,0.001574348
1004530,0,0,0,2.18E-06,1.46E-07,0.000262743
1004565,398,408.5748561,0.743820111,1.16E-05,0.006474249,0.000618569
1004575,62,36.93208326,0.907526882,1.16E-05,0.000662863,0.000306734
1004577,14,7.689031663,0.952380952,1.15E-05,5.32E-05,0.000266814
1004589,254,280.4596017,0.816522935,1.16E-05,0.00242733,0.000405554
1004601,82,38.35075511,0.91097561,1.16E-05,0.00089725,0.00032294
1004614,494,338.6018973,0.730291959,1.16E-05,0.010265396,0.000823053
1004644,858,302.3320047,0.550022981,1.16E-05,0.057566071,0.003227587
1004649,0,0,0,2.18E-06,1.46E-07,0.000262743
1004655,704,564.9249676,0.616080679,1.16E-05,0.022679425,0.00149113
1004669,610,437.2505527,0.668620809,1.16E-05,0.017445731,0.001165655
1004677,786,236.6900539,0.57625659,1.16E-05,0.035272228,0.002363966
1004689,1066,100.2204401,0.422560639,1.15E-05,0.490684524,0.026768371
1004696,526,478.4293257,0.705889182,1.16E-05,0.013565602,0.000904976
1004700,0,0,0,2.18E-06,1.46E-07,0.000262743
1004778,0,0,0,2.18E-06,1.46E-07,0.000262743
1004816,888,610.6057019,0.518819648,1.16E-05,0.056473564,0.003485318
1004822,500,393.1556788,0.730088353,1.16E-05,0.008486327,0.000733438
1004857,524,442.6218531,0.728349566,1.16E-05,0.01069094,0.000859829
1004921,0,0,0,2.18E-06,1.46E-07,0.000262743
1004923,590,550.3646317,0.655940192,1.16E-05,0.013539207,0.000943777
1004938,266,243.858163,0.787537024,1.16E-05,0.004967726,0.000466763
1004943,384,253.2022686,0.795866056,1.16E-05,0.00652212,0.000595832
1004957,416,287.9002829,0.758500557,1.16E-05,0.00727176,0.000659683
1004970,0,0,0,2.18E-06,1.46E-07,0.000262743
1004984,116,113.8673851,0.93768905,1.16E-05,0.000907069,0.000328534
1005017,302,218.017264,0.801766004,1.16E-05,0.005725902,0.000592402
1005034,0,0,0,2.18E-06,1.46E-07,0.000262743
1005066,576,286.877334,0.680289392,1.16E-05,0.015996721,0.001197646
1005083,148,99.80061433,0.925953351,1.16E-05,0.001683115,0.000343127
1005095,0,0,0,2.18E-06,1.46E-07,0.000262743
1005103,106,45.22937719,0.844702467,1.16E-05,0.001158874,0.000336233
1005105,332,230.7792602,0.792332968,1.16E-05,0.00505083,0.000580033
1005106,0,0,0,2.18E-06,1.46E-07,0.000262743
1005110,0,0,0,2.18E-06,1.46E-07,0.000262743
1005118,702,843.3870383,0.605452313,1.16E-05,0.023058521,0.00145122
1005127,654,170.6900663,0.651628126,1.16E-05,0.028997359,0.001908051
1005135,652,169.0093841,0.623086361,1.16E-05,0.028131243,0.002027855
1005138,304,223.7291819,0.824416173,1.16E-05,0.004222425,0.000491932
1005146,634,344.8440114,0.685714286,1.16E-05,0.018648403,0.001285642
1005148,184,142.0062196,0.905398949,1.16E-05,0.001758423,0.000354571
1005158,438,476.9841634,0.738176029,1.16E-05,0.008716868,0.000672098
1005166,0,0,0,2.18E-06,1.46E-07,0.000262743
1005205,174,292.21752,0.923549853,1.16E-05,0.001009263,0.000363562
1005222,0,0,0,2.18E-06,1.46E-07,0.000262743
1005243,948,251.6775085,0.491014799,1.16E-05,0.099734483,0.00557554
1005253,348,87.50143376,0.797488539,1.16E-05,0.008150405,0.000707149
1005255,658,524.6355087,0.636439919,1.16E-05,0.017561437,0.001245762
1005279,0,0,0,2.18E-06,1.46E-07,0.000262743
1005304,570,177.286344,0.690339919,1.16E-05,0.015464241,0.001211868
1005309,0,0,0,2.18E-06,1.46E-07,0.000262743
1005310,286,0.05,0.80212745,1.15E-05,0.006910877,0.000657064
1005314,836,281.7620931,0.560943553,1.16E-05,0.057211483,0.003253347
1005317,436,226.9696237,0.775335053,1.16E-05,0.009830226,0.000766394
1005324,816,198.5304986,0.547076409,1.16E-05,0.049361739,0.003058262
1005332,392,412.9312417,0.756567242,1.16E-05,0.006400165,0.00057091
1005337,0,0,0,2.18E-06,1.46E-07,0.000262743
1005355,378,252.255629,0.765225712,1.16E-05,0.008820201,0.000673955
1005382,0,0,0,2.18E-06,1.46E-07,0.000262743
1005388,546,384.0644506,0.702707836,1.16E-05,0.015034708,0.001007491
1005394,116,80.84383998,0.859649123,1.16E-05,0.001367108,0.000333271
1005405,684,166.4139706,0.615046904,1.16E-05,0.036050011,0.002176765
1005412,536,140.733217,0.676253564,1.16E-05,0.014031699,0.001033839
1005461,92,27.89921417,0.875362319,1.16E-05,0.000936938,0.000320823
1005471,788,746.2585972,0.570130342,1.16E-05,0.034258896,0.00197957
1005480,518,324.0543804,0.723222634,1.16E-05,0.014297333,0.001054976
1005493,622,155.8390693,0.663513937,1.16E-05,0.030747503,0.001883989
1005527,0,0,0,2.18E-06,1.46E-07,0.000262743
1005532,600,499.3402723,0.659843924,1.16E-05,0.015763926,0.001068745
1005533,534,704.3198979,0.642195376,1.16E-05,0.013710865,0.000973144
1005536,798,556.5645978,0.56461147,1.16E-05,0.032636691,0.002133079
1005541,290,252.1190893,0.805555556,1.16E-05,0.00303667,0.000464918
1005562,804,372.3152432,0.572269327,1.16E-05,0.051675557,0.003131366
1005571,792,304.7242346,0.585272762,1.16E-05,0.066326277,0.003862863
1005598,310,226.3364314,0.816422287,1.16E-05,0.004762445,0.000522785
1005602,608,410.1609965,0.665377134,1.16E-05,0.017138342,0.001195409
1005639,0,0,0,2.18E-06,1.46E-07,0.000262743
1005648,114,99.76572089,0.881578947,1.16E-05,0.001280844,0.000361016
